Ref. Publication date [year:mm:dd],Substrate,Electrode,TL1-front,TL2-front,TL3-front,,TL4-back,TL5-back,TL6-back,TL7-back,Electrode2,Cell. Area. Measured [cm^2],Cell. Architecture [nip/pin/ É],Module [TRUE/FALSE],Perovskite. Composition. A-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. B-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. C-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. C-ions. Coefficients [Cof.1; Cof.2; É | Cof.3; É | ...],Perovskite. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; É | Addt.4 | ... ],Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],Perovskite. Deposition. Number of deposition steps,Perovskite. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> É | Proc. 4 | ... ],Perovskite. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> É | Sol.5 | ... ],Perovskite. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> É | 1 | ... ],Perovskite. Deposition. Quenching media [Sol.1; Sol.2; É],Encapsulation [TRUE/FALSE],Encapsulation. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],Encapsulation. Edge sealing materials [Mat.1; Mat.2; ... ],JV. Reverse scan. PCE [%] ,JV. Forward scan. PCE [%] ,Stability. Measured [TRUE/FALSE],Stability. Protocol [ISOS x/IEC x/ É] ,Stability. Light source. Type [Dark/White LED/Metal halide/ ...],Stability. Light. UV filter [TRUE/FALSE],Stability. Potential bias. Load condition [Open circuit/MPPT/Constant potential/ É],Stability. Temperature. Range [T.min; T.max] or [T.constant] [deg. C],Stability. Atmosphere [Gas1; Gas2; ...],Stability. Relative humidity. Average value [%],Stability. Time. Total exposure [h],Stability. PCE. Burn in observed [TRUE/FALSE],Stability. PCE. End of experiment [% of initial PCE],Stability. PCE. T80 [h],Stability. PCE. Ts80 [h],Stability. PCE. After 1000 h [% of initial PCE]
2020-01-16 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.09,nip-mp,FALSE,Cs,Pb,I,3,PVP,,1,Spin-coating,DMF; DMSO,4; 1,Unknown,FALSE,Unknown,Unknown,10,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,30,3600,FALSE,80.8,3600,,86.2
2016-12-01 00:00:00,SLG , FTO , SnO2-np , C60 ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.0919,nip,FALSE,Cs; FA,Pb,Br; I,1.2; 1.8,,,1,Spin-coating,DMF,1,Unknown,TRUE,Hot melt polymer foil (Oxford PV) | Cover glass,Unknown,16.7,,TRUE,ISOS-L-1,Xenon,FALSE,Open circuit,53.0; 53.0,Air,55,2000,FALSE,68,3423,258,
2019-02-27 00:00:00,SLG , ITO , PEDOT:PSS ,,, Perovskite , PCBM-60 , LiF ,,, Al,0.1,pin,FALSE,(BYA); MA,Pb,I,13,,,1,Spin-coating,Unknown,,Unknown,FALSE,Unknown,Unknown,15.1,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,0,3500,FALSE,77.2,3400,,13.5
2019-02-27 00:00:00,SLG , ITO , PEDOT:PSS ,,, Perovskite , PCBM-60 , LiF ,,, Al,0.1,pin,FALSE,(BEA); MA,Pb,I,13,,,1,Spin-coating,Unknown,,Unknown,FALSE,Unknown,Unknown,16.1,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,0,3500,FALSE,83.1,3400,,15
2018-01-30 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite ,,,,, Carbon,0.1,nip-mp-carbon,FALSE,Cs,Pb,Br,3,Undoped,,2,Spin-coating >> Spin-coating,DMF >> Methanol,1 >> 1,Unknown,FALSE,Unknown,Unknown,7.54,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,90,3120,FALSE,78,2880,,
2016-09-05 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.16,nip-mp,FALSE,FA,Pb,I,3,,1.48,1,Spin-coating,DMSO,1,Toluene,FALSE,Unknown,Unknown,7.53,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,60,2880,FALSE,80,2880,,
2015-10-29 00:00:00,SLG , ITO ," poly(1,4-phenylenevinylene) ",,, Perovskite , PCBM-60 , LiF ,,, Ag,0.2,pin,FALSE,MA,Pb,I,3,,1.59,1,Spin-coating,DMSO; GBL,3; 7,Toluene,TRUE,SLG,Epoxy,15.1,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,,2880,TRUE,80,2880,,90
2018-09-13 00:00:00,SLG , ITO , PEDOT:PSS ,,, Perovskite , PCBM-60 , BCP ,,, Ag,0.045,pin,FALSE,MA,Pb,I,3,,1.59,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,13.3,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,30,3750,TRUE,76,2800,,99
2018-11-02 00:00:00,SLG , FTO , NiO-c , CuGaO2-mp ,, Perovskite , PCBM-60 , BCP ,,, Ag,0.09,pin,FALSE,Cs; FA,Pb,Br; I,0.3; 2.7,,1.57,1,Spin-coating,DMF; DMSO,4; 1,Anisole,FALSE,Unknown,Unknown,20.13,17.62,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Ambient,,1440,FALSE,89,2800,,90
2018-07-13 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , P2 ,,,, Au,0.09,nip-mp,FALSE,FA; MA,Pb,Br; I,0.5; 1.5,,1.83,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,14.02,12.46,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,0,2712,FALSE,80,2712,,
