Ref. Publication date [year:mm:dd],Substrate,Electrode,TL1-front,TL2-front,TL3-front,,TL4-back,TL5-back,TL6-back,TL7-back,Electrode2,Cell. Area. Measured [cm^2],Cell. Architecture [nip/pin/ É],Module [TRUE/FALSE],Perovskite. Composition. A-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. B-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. C-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. C-ions. Coefficients [Cof.1; Cof.2; É | Cof.3; É | ...],Perovskite. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; É | Addt.4 | ... ],Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],Perovskite. Deposition. Number of deposition steps,Perovskite. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> É | Proc. 4 | ... ],Perovskite. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> É | Sol.5 | ... ],Perovskite. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> É | 1 | ... ],Perovskite. Deposition. Quenching media [Sol.1; Sol.2; É],Encapsulation [TRUE/FALSE],Encapsulation. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],Encapsulation. Edge sealing materials [Mat.1; Mat.2; ... ],JV. Reverse scan. PCE [%] ,JV. Forward scan. PCE [%] ,Stability. Measured [TRUE/FALSE],Stability. Protocol [ISOS x/IEC x/ É] ,Stability. Light source. Type [Dark/White LED/Metal halide/ ...],Stability. Light. UV filter [TRUE/FALSE],Stability. Potential bias. Load condition [Open circuit/MPPT/Constant potential/ É],Stability. Temperature. Range [T.min; T.max] or [T.constant] [deg. C],Stability. Atmosphere [Gas1; Gas2; ...],Stability. Relative humidity. Average value [%],Stability. Time. Total exposure [h],Stability. PCE. Burn in observed [TRUE/FALSE],Stability. PCE. End of experiment [% of initial PCE],Stability. PCE. T80 [h],Stability. PCE. Ts80 [h],Stability. PCE. After 1000 h [% of initial PCE]
2020-01-24,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.159,nip-mp,FALSE,(PEA); FA; MA,Pb,Br; I,1.05; 5.95,nan,1.59,1,Spin-coating,DMF; DMSO,nan,Chlorobenzene,FALSE,Unknown,Unknown,19.1,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,nan; nan,Air,80,1200,FALSE,48,500,,60
2020-03-30,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.12,nip-mp,FALSE,Cs; FA,Pb,I,3,nan,1.54,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,20.16,,TRUE,ISOS-L-1I,White LED,FALSE,MPPT,25; 25,N2,,1000,FALSE,50,500,,50
2018-10-16 00:00:00,SLG , ITO , PEDOT:PSS ,,, Perovskite , C60 , BCP ,,, Ag,1,pin,FALSE,MA,Pb,I,3,,1.6,1,Spin-coating,Unknown,,Unknown,FALSE,Unknown,Unknown,,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,40,1000,FALSE,50,500,,50
2017-05-12 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.1,nip-mp,FALSE,MA,Pb,I,3,,1.6,2,Spin-coating >> Electrospraying,DMF >> IPA,1 >> 1,Unknown,FALSE,Unknown,Unknown,5.8,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,40,4000,FALSE,55,500,,80
2020-03-30,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.12,nip-mp,FALSE,Cs; FA,Pb,I,3,CsPbBr3,1.55,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,20.36,,TRUE,ISOS-L-1I,White LED,FALSE,MPPT,25; 25,N2,,1000,FALSE,60,500,,60
2019-05-22 00:00:00,SLG , FTO , SrGeO3 ,,, Perovskite , Spiro-MeOTAD , MoO3 ,,, Ag,0.09,nip,FALSE,MA,Pb,I,3,,1.6,1,Spin-coating,DMSO; GBL,3; 7,Chlorobenzene,FALSE,Unknown,Unknown,17.68,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Ambient,,1000,FALSE,60,500,,60
2017-12-18 00:00:00,SLG , ITO , SnO2 ,,, Perovskite , P3HT ,,,, Au,0.1,nip,FALSE,Ag; Cs,Bi,Br,6,,2.05,1,Spin-coating,DMSO,1,Vacuum,FALSE,Unknown,Unknown,1.32,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,50,750,TRUE,75,500,,
2018-07-18 00:00:00,SLG , ITO , TiO2-c ,,, Perovskite , Spiro-MeOTAD , MoO3 ,,, Ag,0.1,nip,FALSE,FA,Pb,I,3,Cl,1.48,2,Spin-coating >> Spin-coating,DMF >> Ethanol,1 >> 1,Unknown,FALSE,Unknown,Unknown,,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,0,750,FALSE,75,500,,
2017-07-11 00:00:00,SLG , FTO , TiO2-c ,,, Perovskite , JY7 ,,,, Ag,0.09,nip,FALSE,MA,Pb,I,3,Cl,1.6,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,0,550,FALSE,76,500,,
2017-07-11 00:00:00,SLG , FTO , TiO2-c ,,, Perovskite , JY5 ,,,, Ag,0.09,nip,FALSE,MA,Pb,I,3,Cl,1.6,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,0,550,FALSE,77,500,,
2019-06-02,SLG , ITO , Graphene oxide , PTFTS ,, Perovskite , PCBM-60 , BCP ,,, Au,0.09,pin,FALSE,MA,Pb,I,3,nan,1631.0,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,17.42,16.35,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25; 25,Air,50,500,FALSE,78,500,,
2019-06-02,SLG , ITO , Graphene oxide ,,, Perovskite , PCBM-60 , BCP ,,, Au,0.09,pin,FALSE,MA,Pb,I,3,nan,1631.0,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,14.91,14.11,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25; 25,Air,50,500,FALSE,78,500,,
2018-11-30 00:00:00,SLG , ITO , NiO-np ,,, Perovskite , PCBM-60 ,,,, Ag,0.04,pin,FALSE,FA,Sn,I,3,KHQSA,,1,Spin-coating,DMF; DMSO,9; 1,Chlorobenzene,FALSE,Unknown,Unknown,6.76,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,20,500,FALSE,80,500,,
2019-07-02 00:00:00,SLG , ITO , SnO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Ag,0.1,nip,FALSE,Cs; FA; MA,Pb,Br; I,0.51; 2.49,,,1,Spin-coating,DMF; DMSO,3; 5,Chlorobenzene,FALSE,Unknown,Unknown,19.8,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,20,500,FALSE,80,500,,
2018-03-22,SLG , ITO , ZnO,,, Perovskite , Spiro-MeOTAD ,,,, Ag,0.04,nip,FALSE,Cs; FA,Pb,I,3,Undoped,1.554,1,Spin-coating,DMSO,1,Chlorobenzene,FALSE,Unknown,Unknown,16.7,14.76,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,20; 30,Air,50,500,FALSE,80,500,,
2017-05-19 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Ag,0.09,nip-mp,FALSE,FA; MA,Pb,I,3,,1.535,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,18.7,18.4,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,20.0; 20.0,Air,20,500,FALSE,80,500,,
2017-10-24 00:00:00,SLG , FTO , TiO2-c ,,, Perovskite , DFBT(DTS-FBTTh2)2 ,,,, Au,0.096,nip,FALSE,FA; MA,Pb,I,3,HI,,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,17.3,17,TRUE,ISOS-L-2,Solar simulator,FALSE,Open circuit,25.0; 25.0,Air,60,500,FALSE,80,500,,
2019-01-05 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , FEH ,,,, Au,0.1,nip-mp,FALSE,MA,Pb,I,3,,1.6,1,Spin-coating,DMF; DMSO,9; 1,Diethyl ether,FALSE,Unknown,Unknown,16.9,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,55,500,FALSE,80,500,,
2020-09-24,SLG , FTO , TiO2-c , C60 ,, Perovskite , PTAA ,,,, Au,0.09,nip,FALSE,Cs; FA; MA,Pb,Br; I,0.51; 2.49,Undoped,nan,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,18.75,,TRUE,ISOS-L-1,Solar simulator,FALSE,Open circuit,25; 25,Air,35,500,FALSE,80,500,,
2019-04-01 00:00:00,SLG , ITO , SnO2-np ,,, Perovskite , PTAA ,,,, Au,0.0739,nip,FALSE,FA; MA,Pb,I,3,,,2,Spin-coating >> Spin-coating,DMF; DMSO >> IPA,9; 1 >> 1,Unknown,FALSE,Unknown,Unknown,19.15,,TRUE,ISOS-D-2I,Dark,FALSE,Open circuit,85.0; 85.0,Unknown,,500,FALSE,80,500,,
2017-07-17 00:00:00,SLG , FTO , Fe2O3 ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.1,nip,FALSE,MA,Pb,I,3,,1.6,1,Spin-coating,DMF; DMSO,7; 3,Toluene,FALSE,Unknown,Unknown,18.2,17.6,TRUE,ISOS-L-1I,Light,FALSE,MPPT,25.0; 25.0,Unknown,,500,FALSE,80,500,,
2019-08-07 00:00:00,SLG , FTO , SnO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.125,nip,FALSE,FA; MA,Pb,Br; I,0.1; 2.9,PTS | Cl,1.56,2,Spin-coating >> Spin-coating,DMF; DMSO >> IPA,9; 1 >> 1,Unknown,FALSE,Unknown,Unknown,17.16,18.02,TRUE,ISOS-D-2,Dark,FALSE,Open circuit,85.0; 85.0,Air,2,500,FALSE,80,500,,
2017-09-14 00:00:00,SLG , FTO , SnO2-nanosheets ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.16,nip,FALSE,MA,Pb,I,3,,1.6,1,Spin-coating,DMF; DMSO,4; 1,Ar,FALSE,Unknown,Unknown,17.36,16.66,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Ambient,,500,FALSE,80,500,,
2017-12-22 00:00:00,SLG , FTO , TiO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.1,nip,FALSE,MA,Pb,I,3,,1.63,2,Spin-coating >> CBD,DMSO >> IPA,1 >> 1,Unknown,FALSE,Unknown,Unknown,18.45,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,22.0; 22.0,Air,35,500,FALSE,80,500,,
2018-03-08 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.09,nip-mp,FALSE,Cs,Pb,I,3,,,1,Spin-coating,DMF; DMSO,1; 1,Unknown,FALSE,Unknown,Unknown,10.74,10.38,TRUE,ISOS-D-2,Dark,FALSE,Open circuit,60.0; 60.0,Air,50,500,FALSE,80,500,,
2013-07-09 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.285,nip-mp,FALSE,MA,Pb,I,3,,1.6,2,Spin-coating >> CBD,DMF >> IPA,1 >> 1,Unknown,TRUE,Unknown,Unknown,9,,TRUE,ISOS-L-1,White LED,FALSE,MPPT,45.0; 45.0,Air,,500,FALSE,80,500,,
2016-06-28 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.09,nip-mp,FALSE,Ca; MA,Pb,Br; I,0.3; 2.7,,,1,Spin-coating,DMSO; GBL,3; 7,Chlorobenzene,FALSE,Unknown,Unknown,15.9,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,30,500,FALSE,80,500,,
2018-04-17 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.09,nip-mp,FALSE,BE; FA,Pb,I,28,,,1,Spin-coating,DMF,1,Chlorobenzene,FALSE,Unknown,Unknown,17.4,17.22,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,80,500,FALSE,80,500,,
2019-08-19 00:00:00,PES , Ti , Graphene ,, NiO-c , Perovskite , PCBM-60 , AZO ,,, Ag ,1,pin,FALSE,MA,Pb,I,3,,1.6,1,CVD,none,1,Unknown,FALSE,Unknown,Unknown,11.65,,TRUE,ISOS-L-1I,Light,FALSE,Open circuit,25.0; 25.0,Unknown,,500,FALSE,80,500,,
2019-08-19 00:00:00,PES , Ti , Graphene ,, NiO-c , Perovskite , PCBM-60 , AZO ,,, Ag ,1,pin,FALSE,MA,Pb,I,3,,1.6,1,CVD,none,1,Unknown,FALSE,Unknown,Unknown,11.17,,TRUE,ISOS-L-1I,Light,FALSE,Open circuit,25.0; 25.0,Unknown,,500,FALSE,80,500,,
2019-01-24 00:00:00,SLG , ITO , PEDOT:PSS ,,, Perovskite , C60 , BCP ,,, Ag,0.1,pin,FALSE,MA,Pb,I,3,Acetate; Cl,1.6,1,Spin-coating,DMF,1,Thermal radiation,FALSE,Unknown,Unknown,17.2,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,70,500,FALSE,80,500,,
2018-02-23 00:00:00,SLG , FTO , TiO2-c ,,, Perovskite , Spiro-MeOTAD , PEDOT:PSS ,,, Graphene,0.06,nip,FALSE,MA,Pb,I,3,Cl,1.59,1,Spin-coating,DMF,1,Unknown,TRUE,Unknown,Unknown,11.8,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,0,500,FALSE,80,500,,
2019-04-01 00:00:00,SLG , ITO , SnO2-np ,,, Perovskite , PEAI , PTAA ,,, Au,0.0739,nip,FALSE,FA; MA,Pb,I,3,,,2,Spin-coating >> Spin-coating,DMF; DMSO >> IPA,9; 1 >> 1,Unknown,FALSE,Unknown,Unknown,17.27,,TRUE,ISOS-D-2I,Dark,FALSE,Open circuit,85.0; 85.0,Unknown,,500,FALSE,80,500,,
2020-01-08 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , TFDIB , Spiro-MeOTAD ,,, Au,0.16,nip-mp,FALSE,Cs; FA; MA,Pb,Br; I,0.1; 2.9,,,1,Spin-coating,DMF; DMSO,4; 1,Trifluorotoluene,FALSE,Unknown,Unknown,20.7,,TRUE,ISOS-L-1I,Solar simulator,FALSE,MPPT,25.0; 25.0,N2,0,500,TRUE,80,500,,
2019-08-21 00:00:00,SLG , FTO , NiMgLiO ,,, Perovskite , 3-acetylpyridine , PCBM-60 , BCP ,, Ag,0.09,pin,FALSE,Cs; FA; MA,Pb,Br; I,0.51; 2.49,Undoped,,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,18.55,,TRUE,ISOS-L-1I,Solar simulator,FALSE,Open circuit,45.0; 45.0,N2,0,500,FALSE,80.4,500,,
2019-10-12 00:00:00,SLG , FTO , SnO2-np ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.1,nip,FALSE,MA,Pb,I,3,,1.6,1,Spin-coating,DMF; DMSO,4; 1,Diethyl ether,FALSE,Unknown,Unknown,21.01,19.98,TRUE,ISOS-L-1I,Light,FALSE,MPPT,25.0; 25.0,N2,0,200,FALSE,95,500,,
2020-01-31 00:00:00,SLG , ITO , TiO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.09,nip,FALSE,Cs,Pb,I,3,HI,,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,10.35,,TRUE,ISOS-L-1,Solar simulator,FALSE,Open circuit,25.0; 25.0,Ambient,,800,FALSE,63.1,486.5,,
2020-02-12,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.065,nip-mp,FALSE,Cs,Pb,Br; I,1; 2,BAI,1.9,1,Spin-coating,DMF; DMSO,1; 1,Unknown,FALSE,Unknown,Unknown,8.28,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,nan; nan,Air,25,2880,FALSE,34,480,,66
2019-07-15,SLG , FTO , SnO2-c , C60-SAM ,, Perovskite , PMMA , Spiro-MeOTAD ,,, Au,0.08,nip,FALSE,FA; MA,Pb,Br; I,0.225; 2.775,PMMA,nan,2,Spin-coating >> Spin-coating,DMF; DMSO >> Chlorobenzene,7.7; 1 >> 1,Diethyl ether,FALSE,Unknown,Unknown,20.61,19.18,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25; 25,Ambient,35,1440,FALSE,35,480,,58
2017-11-21 00:00:00,SLG , FTO , TiO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.09,nip,FALSE,MA,Pb,I,3,,1.6,2,Spin-coating >> Gas reaction,DMF >> none,1 >> 1,Unknown,FALSE,Unknown,Unknown,9.7,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,50,840,FALSE,60,480,,
2017-08-26 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.17,nip-mp,FALSE,MA,Pb,I,3,Cl,1.48,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,14.14,11.42,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,20.0; 20.0,Air,45,1920,TRUE,60,480,,80
2014-12-23 00:00:00,SLG , ITO , PEDOT:PSS ,,, Perovskite , PCBM-60 , Ca ,,, Al,0.12,pin,FALSE,MA,Pb,I,3,Cl,1.6,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,8.14,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,Ar,0,720,FALSE,66,480,,
2019-01-09 00:00:00,SLG , ITO , TiO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.0725,nip,FALSE,BA; MA,Pb,I,13,,1.64,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,5.7,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,60,720,FALSE,70,480,,
2019-01-09 00:00:00,SLG , ITO , TiO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.0725,nip,FALSE,BA; MA,Pb,I,13,,,1,Spin-coating,DMF; DMSO,3; 1,Unknown,FALSE,Unknown,Unknown,6.6,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,60,720,FALSE,70,480,,
2018-05-09 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , M102 ,,,, Ag,0.14,nip-mp,FALSE,Cs; FA; MA,Pb,Br; I,0.51; 2.49,,,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,14.12,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,25,840,FALSE,71,480,,
2019-06-18 00:00:00,SLG , ITO , NiO-c ,,, Perovskite , PCBM-60 ,,,, Ag,0.1,pin,FALSE,MA,Pb,I,3,Phenylethyl ammonium iodide,1.582,1,Spin-coating,DMF; DMSO,7; 3,Chlorobenzene,FALSE,Unknown,Unknown,17.3,17.6,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,20.0; 20.0,Air,50,720,TRUE,75,480,,
2019-09-10 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.09,nip-mp,FALSE,FA,Pb,I,3,,1.48,2,Spin-coating >> Spin-coating,DMF; DMSO >> IPA,4; 1 >> 1,Unknown,FALSE,Unknown,Unknown,21.24,20.44,TRUE,ISOS-D-2,Dark,FALSE,Open circuit,85.0; 85.0,Air,,500,FALSE,75,480,,
2020-04-07,SLG , ITO ,,,, Perovskite , C60 , BCP ,,, Ag,0.1,pin,FALSE,MA,Pb,I,3,Undoped,nan,1,Spin-coating,DMF; DMSO,7.7; 1,Chlorobenzene,FALSE,Unknown,Unknown,17.23,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,nan; nan,N2,0,500,FALSE,75,480,,
2019-07-23 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.125,nip-mp,FALSE,Cs; FA,Pb,Br; I,0.375; 2.625,,,1,Spin-coating,DMF; DMSO,57; 75,Diethyl ether,TRUE,PMMA,Unknown,19.01,,TRUE,ISOS-L-1,White LED,FALSE,Open circuit,17.0; 17.0,Air,0,525,FALSE,75.6,480,,
2018-05-09 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Ag,0.14,nip-mp,FALSE,Cs; FA; MA,Pb,Br; I,0.51; 2.49,,,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,16.67,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,25,840,FALSE,77,480,,
2017-10-04 00:00:00,SLG , FTO , NiO-c ,,, Perovskite , PCBM-60 ,,,, Ag,0.07,pin,FALSE,MA,Pb,I,3,,1.6,1,Spin-coating,DMF; DMSO,7; 3,Chlorobenzene,FALSE,Unknown,Unknown,14.1,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,30,480,FALSE,80,480,,
2017-12-18 00:00:00,SLG , ITO , SnO2-c , C60 ,, Perovskite , Spiro-MeOTAD ,,,, Ag,0.0314,nip,FALSE,FA,Sn,I,3,SnF2; TMA,1.4,2,Spin-coating >> Spin-coating,DMF; DMSO >> IPA,7; 3 >> 1,Unknown,FALSE,Unknown,Unknown,4.34,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,0,480,FALSE,80,480,,
2018-05-18 00:00:00,SLG , FTO , SnO2-np , PCBM-60 ,, Perovskite , Selenium ,,,, Au,0.1,nip,FALSE,FA,Pb,I,3,,1.48,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,8.3,6.99,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,50.0; 50.0,Air,30,480,FALSE,80,480,,
2017-08-25 00:00:00,SLG , FTO , TiO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.12,nip,FALSE,MA,Pb,I,3,,1.6,2,Spin-coating >> CBD,DMF >> IPA,1 >> 1,IPA,FALSE,Unknown,Unknown,15.1,13.47,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,60,480,FALSE,80,480,,
2019-11-20 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,1.175,nip-mp,FALSE,MA,Pb,I,3,HA,1.57,1,Spin-coating,DMF; DMSO,4; 1,Unknown,FALSE,Unknown,Unknown,,6.53,TRUE,ISOS-L-1,Light,FALSE,Open circuit,25.0; 25.0,Air,80,480,FALSE,80,480,,
2016-09-27 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.09,nip-mp,FALSE,MA,Pb,I,3,Cl,1.6,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,16.9,,TRUE,ISOS-D-2I,Dark,FALSE,Open circuit,70.0; 70.0,Unknown,,480,FALSE,80,480,,
2018-04-03 00:00:00,SLG , ITO , PTAA ,,, Perovskite , PCBM-60 , BCP ,,, Ag,0.06,pin,FALSE,MA,Pb,I,3,PbAc2,1.6,1,Spin-coating,DMF; DMSO,9; 1,Diethyl ether,FALSE,Unknown,Unknown,16.88,17.25,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,0,480,FALSE,80,480,,
2019-05-07 00:00:00,SLG , ITO , PolyTPD ,,, Perovskite , PCBM-60 , Zr(acac)4 ,,, Ag,0.1,pin,FALSE,MA,Pb,I,3,DAGCl,1.6,2,Spin-coating >> CBD,DMF; DMSO >> IPA,9; 1 >> 1,Unknown,FALSE,Unknown,Unknown,19.1,19.5,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,50,480,FALSE,80,480,,
2015-12-04 00:00:00,SLG , ITO , PEDOT:PSS ,,, Perovskite , PCBM-70 , ZrO2 ,,, Ag,0.1,pin,FALSE,MA,Pb,I,3,,1.6,2,Spin-coating >> Spin-coating,DMF >> IPA,1 >> 1,Unknown,FALSE,Unknown,Unknown,15.85,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,30.0; 30.0,Air,60,480,FALSE,80,480,,
2018-10-16 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.13,nip-mp,FALSE,FA; MA,Pb,Br; I,0.45; 2.55,,1.51,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,19.7,18.8,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,40,480,FALSE,80.1,480,,
2019-07-09,SLG , FTO , TiO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.067,nip,FALSE,MA,Pb,I,3,EtOH; H20; Pb(SCN)2,1.6,2,Spin-coating | Spin-coating,DMF | IPA | H2O | Ethanol,1 | 1 | 1 | 1,Unknown,FALSE,Unknown,Unknown,9.4,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,nan; nan,Ambient,,240,FALSE,88,480,,
2017-09-21 00:00:00,SLG , FTO , TiO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.09,nip,FALSE,MA,Ca; Pb,I,3,Cl,,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,12.9,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,1,741.5,FALSE,78.1,479.3,,
2019-01-31 00:00:00,SLG , ITO , SnO2-c ,,, Perovskite , Spiro-MeOTAD ,,,, Ag,0.1,nip,FALSE,MA,Pb,I,3,,1.6,1,Spin-coating,DMF; DMSO,26; 4,Diethyl ether,FALSE,Unknown,Unknown,17.88,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Ambient,,1008,FALSE,64.3,475,,64.3
2019-02-22 00:00:00,SLG , ITO , NPB ,,, Perovskite , PCBM-60 , PDI-Br ,,, Ag,0.06,pin,FALSE,MA,Pb,I,3,,1.6,1,Spin-coating,DMSO; GBL,3; 7,Toluene,FALSE,Unknown,Unknown,19.33,19.17,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,N2,0,459,FALSE,80,459,,
